ram_limit,cpu_limit,ram_usage,cpu_usage,n,lat99
2944M,0.5,1137033216.0,0.497913,450,48284001
2944M,0.5,1082499072.0,0.497876,450,48801410
2944M,0.5,1038446592.0,0.497712,450,48174704
2944M,0.5,1027645440.0,0.497547,450,48714411
2944M,0.5,1223102464.0,0.497281,450,48622333
2944M,0.5,1034420224.0,0.497509,500,48622159
2944M,0.5,1112047616.0,0.49726,500,49361839
2944M,0.5,1212809216.0,0.496925,500,48970347
2816M,0.5,666763264.0,0.356886,50,258554
2816M,0.5,259788800.0,0.43805,50,209588
2816M,0.5,257396736.0,0.462478,50,254872
2816M,0.5,256847872.0,0.462478,50,256527
2816M,0.5,444596224.0,0.427476,100,18181174
2816M,0.5,431837184.0,0.427508,100,18190304
2816M,0.5,456740864.0,0.439275,100,18168609
2816M,0.5,460664832.0,0.445518,100,17379841
2816M,0.5,460664832.0,0.456081,100,17715507
2816M,0.5,552751104.0,0.459139,150,30730774
2816M,0.5,552751104.0,0.467863,150,30972457
2816M,0.5,535584768.0,0.481072,150,30758054
2816M,0.5,537919488.0,0.489266,150,30760387
2816M,0.5,571793408.0,0.49811,150,30896570
2816M,0.5,640708608.0,0.468864,200,36988993
2816M,0.5,672784384.0,0.497968,200,37125645
2816M,0.5,672784384.0,0.497877,200,37092665
2816M,0.5,661307392.0,0.497845,200,37058193
2816M,0.5,661307392.0,0.497859,200,36900965
2816M,0.5,670461952.0,0.498002,250,41475908
2816M,0.5,723488768.0,0.497918,250,41898298
2816M,0.5,723488768.0,0.498023,250,41589273
2816M,0.5,727535616.0,0.498362,300,43800941
2816M,0.5,727535616.0,0.4978,300,44213001
2816M,0.5,835813376.0,0.497971,300,43885209
2816M,0.5,843345920.0,0.498008,300,44302352
2816M,0.5,843345920.0,0.497621,300,44223503
2816M,0.5,728276992.0,0.498113,350,46673933
2816M,0.5,1119694848.0,0.498222,350,46612459
2816M,0.5,906121216.0,0.497689,400,47872803
2816M,0.5,947568640.0,0.498143,400,48028459
2816M,0.5,1082257408.0,0.497989,400,47627102
2816M,0.5,987422720.0,0.497659,450,48825496
2816M,0.5,1125928960.0,0.497335,450,48209563
2816M,0.5,1077661696.0,0.497355,450,48369561
2816M,0.5,1173315584.0,0.497305,450,48583344
2816M,0.5,1124134912.0,0.497422,500,49367793
2688M,0.5,683732992.0,0.19333,50,251502
2688M,0.5,252375040.0,0.275307,50,267749
2688M,0.5,300126208.0,0.355703,50,260529
2688M,0.5,300126208.0,0.410116,50,269284
2688M,0.5,231772160.0,0.442936,50,273406
2688M,0.5,476880896.0,0.421309,100,18814961
2688M,0.5,440807424.0,0.432246,100,18809359
2688M,0.5,439013376.0,0.444461,100,18597448
2688M,0.5,451543040.0,0.450179,100,18715750
2688M,0.5,458035200.0,0.453839,100,18399627
2688M,0.5,542834688.0,0.458561,150,31330098
2688M,0.5,542834688.0,0.470688,150,30675634
2688M,0.5,557608960.0,0.478821,150,31191176
2688M,0.5,603414528.0,0.489124,150,31039290
2688M,0.5,603414528.0,0.498057,150,31224691
2688M,0.5,611065856.0,0.498302,200,37157814
2688M,0.5,611065856.0,0.498297,200,36979888
2688M,0.5,645771264.0,0.498295,200,36982828
2688M,0.5,612499456.0,0.498267,200,37213995
2688M,0.5,672411648.0,0.497868,200,37036726
2688M,0.5,697282560.0,0.49793,250,41810080
2688M,0.5,714027008.0,0.497893,250,41908833
2688M,0.5,729440256.0,0.49799,250,41760298
2688M,0.5,729440256.0,0.497892,250,41710872
2688M,0.5,736473088.0,0.497724,250,41609616
2688M,0.5,799641600.0,0.497843,300,44309093
2688M,0.5,799641600.0,0.49805,300,43986721
2688M,0.5,885129216.0,0.498031,300,44154440
2688M,0.5,898711552.0,0.498084,300,44034297
2688M,0.5,831746048.0,0.4982,300,44053786
2688M,0.5,831746048.0,0.498101,350,46662934
2688M,0.5,1088483328.0,0.497634,400,48033438
2688M,0.5,944185344.0,0.497772,450,48734232
2688M,0.5,944246784.0,0.497515,450,48590506
2688M,0.5,1116942336.0,0.497626,450,48344325
2688M,0.5,988250112.0,0.497681,500,49003161
2560M,0.5,741249024.0,0.218253,50,265666
2560M,0.5,238542848.0,0.299591,50,244708
2560M,0.5,236060672.0,0.381619,50,230217
2560M,0.5,235634688.0,0.425327,50,273819
2560M,0.5,239882240.0,0.427442,50,210561
2560M,0.5,459673600.0,0.418883,100,18105909
2560M,0.5,475148288.0,0.428746,100,18320229
2560M,0.5,475148288.0,0.435375,100,18441226
2560M,0.5,494186496.0,0.448063,100,18318219
2560M,0.5,486756352.0,0.45762,100,18368395
2560M,0.5,531472384.0,0.457502,150,30600494
2560M,0.5,531472384.0,0.470163,150,30695469
2560M,0.5,536936448.0,0.477672,150,31605945
2560M,0.5,536936448.0,0.487938,150,30667408
2560M,0.5,560476160.0,0.498036,150,30880353
2560M,0.5,593489920.0,0.497764,200,37193922
2560M,0.5,621875200.0,0.497963,200,37133113
2560M,0.5,660889600.0,0.497852,200,36915438
2560M,0.5,660889600.0,0.498105,200,37436027
2560M,0.5,729518080.0,0.498112,250,41624071
2560M,0.5,729518080.0,0.498306,250,42024543
2560M,0.5,717926400.0,0.49813,250,41670173
2560M,0.5,735662080.0,0.498138,250,41695505
2560M,0.5,823193600.0,0.498069,300,44398524
2560M,0.5,828760064.0,0.498008,300,44085171
2560M,0.5,754475008.0,0.497871,350,46684002
2560M,0.5,1064566784.0,0.498014,400,47754767
2560M,0.5,1048674304.0,0.497853,400,47878025
