scenario,approach,algorithm,feature,source_table,importance
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/rabbitmq-performance.csv.min,rabbitmq-performance.csv,37.17538501687644
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/rabbitmq-performance.csv.cpu_usage,rabbitmq-performance.csv,35.088434434775714
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/rabbitmq-performance.csv.lat95,rabbitmq-performance.csv,11.767371025721038
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/rabbitmq-performance.csv.ram_limit,rabbitmq-performance.csv,11.692708970433006
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/rabbitmq-performance.csv.lat99,rabbitmq-performance.csv,9.28490182092045
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/rabbitmq-performance.csv.lat50,rabbitmq-performance.csv,9.191441132362566
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/rabbitmq-performance.csv.lat75,rabbitmq-performance.csv,4.925461400854999
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/amf-performance.csv.mean,amf-performance.csv,0.45439380706580224
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/amf-performance.csv.time,amf-performance.csv,0.44132824999013776
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/amf-performance.csv.ram_usage,amf-performance.csv,0.17091564738090242
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/amf-performance.csv.cpu_usage,amf-performance.csv,0.1434296198411708
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/amf-performance.csv.ram_limit,amf-performance.csv,0.06981213764893753
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/python-web-server-performance.csv.ram_limit,python-web-server-performance.csv,0.02447784586195425
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/amf-performance.csv.dt.dayofweek,amf-performance.csv.dt,0.018949817146997817
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/amf-performance.csv.n,amf-performance.csv,0.009660291102316875
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/amf-performance.csv.lat75,amf-performance.csv,0.0
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/amf-performance.csv.lat80,amf-performance.csv,0.0
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/amf-performance.csv.lat90,amf-performance.csv,0.0
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/amf-performance.csv.lat95,amf-performance.csv,0.0
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/amf-performance.csv.lat98,amf-performance.csv,0.0
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/amf-performance.csv.lat99,amf-performance.csv,0.0
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/amf-performance.csv.lat100,amf-performance.csv,0.0
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/rabbitmq-performance.csv.time,rabbitmq-performance.csv,0.0
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/amf-performance.csv.dt,amf-performance.csv,0.0
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/amf-performance.csv.dt.day,amf-performance.csv.dt,0.0
