scenarioB_seg01/amf-seg01-reduced.csv.time,scenarioB_seg01/amf-seg01-reduced.csv.ram_limit,scenarioB_seg01/amf-seg01-reduced.csv.cpu_limit,scenarioB_seg01/amf-seg01-reduced.csv.ram_usage,scenarioB_seg01/amf-seg01-reduced.csv.cpu_usage,scenarioB_seg01/amf-seg01-reduced.csv.n,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.ram_limit,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.ram_usage,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.time,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.cpu_limit,lat99
1636557303,2048000000,1.0,598724608.0,0.812759,240,2048000000,608448512.0,1636860225,3.0,12232867
1636557327,2048000000,1.0,612528128.0,0.84949,250,3584000000,610496512.0,1636809989,1.0,14712025
1636557352,2048000000,1.0,624070656.0,0.85827,260,1280000000,632487936.0,1636805150,1.5,14229228
1636557376,2048000000,1.0,638529536.0,0.78877,270,1792000000,650264576.0,1636862894,3.0,14686289
1636557400,2048000000,1.0,651284480.0,0.825363,280,2048000000,655953920.0,1636783280,2.5,13524170
1636557427,2048000000,1.0,667222016.0,0.943709,290,2304000000,679071744.0,1636739430,4.0,17514053
1636557480,2048000000,1.0,682872832.0,0.791664,300,3328000000,685830144.0,1636822939,0.5,42137215
1636557517,2048000000,1.0,699748352.0,0.987908,310,4096000000,698593280.0,1636855556,3.0,27270118
1636557582,2048000000,1.0,720355328.0,0.900813,320,768000000,714539008.0,1636787540,2.5,54798004
1636557649,2048000000,1.0,740380672.0,0.934801,330,3584000000,721903616.0,1636761343,3.0,56983208
1636557718,2048000000,1.0,760594432.0,0.86172,340,3584000000,748924928.0,1636748826,3.5,59504479
1636557791,2048000000,1.0,784117760.0,0.850983,350,2048000000,773042176.0,1636783486,2.5,62576786
1636557871,2048000000,1.0,806367232.0,0.957321,360,2304000000,797118464.0,1636767695,3.0,69900281
1636557956,2048000000,1.0,827858944.0,0.892458,370,2304000000,815116288.0,1636767734,3.0,74592118
1636558047,2048000000,1.0,852090880.0,0.862628,380,3072000000,837500928.0,1636736441,4.0,81764157
1636558140,2048000000,1.0,877436928.0,0.978176,390,3584000000,836374528.0,1636761574,3.0,82258696
1636558239,2048000000,1.0,903852032.0,0.864823,400,3328000000,901500928.0,1636823916,0.5,89027539
1636558339,2048000000,1.0,931483648.0,0.865434,410,4096000000,892985344.0,1636855943,3.0,89995809
1636558444,2048000000,1.0,959242240.0,0.925441,420,1280000000,922873856.0,1636805716,1.5,94958607
1636558622,2048000000,1.0,1011965952.0,0.996645,440,2304000000,974061568.0,1636740023,4.0,67580120
1636558817,2048000000,1.0,1067683840.0,0.899874,460,1280000000,1021878272.0,1636744249,4.0,85518808
1636559416,1024000000,1.0,1229537280.0,0.039573,10,1792000000,602877952.0,1636815228,1.0,181104
1636559426,1024000000,1.0,1293795328.0,0.089099,20,3328000000,507670528.0,1636799616,1.5,331730
1636559437,1024000000,1.0,1337946112.0,0.008015,30,1536000000,325783552.0,1636849767,3.5,504603
1636559447,1024000000,1.0,1371303936.0,0.008015,40,2816000000,1616252928.0,1636830189,0.5,861435
